etymon,root_language,german_meaning (LIV),cognate_sets,reflexes,meanings of reflexes,number of distinct meanings
*leh₃u̯-,Proto-Indo-European,,968 | 6472 | 8364 | 8497,luaith | luaithre | leoie | ludu | ludu | ludu | lludw | llydw | lusow | lidzhiu | lúaithred | llwch | lúaithred | llwch | laver | lavare | lavé | lavar | lavar | laver | lauāre | lavâ | laj | lāḫun(a)i- | vutu | laj | lavà | laver | laver | lavâ | lavar | spăla | levar | llavar | spilári | lavúr | ljanj | lavar | lavàa | ljahem,ash | ash | ash | ash | ash | ash | ash | ash | ash | ash | ash | dust | dust | dust | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | wash | swim,4
*sek-,Proto-Indo-European,,867 | 1085 | 4344 | 4358,"sec | sec | seco | siccu | siccu | seco | sètch | siccus | ṣkalä | sec | sec | seu | seco | škwi | sec | sec | ǝkǝk | seco | sèch | seccaid | sioc | sech | sec'h | sec'h | sych | sych | segh | zêh, zeeah, zeth",dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | freeze | freeze | dry | dry | dry | dry | dry | dry | dry,2
secc,Old Irish,,867 | 1085 | 4344 | 4358,"sec | sec | seco | siccu | siccu | seco | sètch | siccus | ṣkalä | sec | sec | seu | seco | škwi | sec | sec | ǝkǝk | seco | sèch | seccaid | sioc | sech | sec'h | sec'h | sych | sych | segh | zêh, zeeah, zeth",dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | freeze | freeze | dry | dry | dry | dry | dry | dry | dry,2
[siccus],Brythonic,,867 | 1085 | 4344 | 4358,"sec | sec | seco | siccu | siccu | seco | sètch | siccus | ṣkalä | sec | sec | seu | seco | škwi | sec | sec | ǝkǝk | seco | sèch | seccaid | sioc | sech | sec'h | sec'h | sych | sych | segh | zêh, zeeah, zeth",dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | freeze | freeze | dry | dry | dry | dry | dry | dry | dry,2
?*pē(n)s-,Proto-Indo-European,,1168 | 1641 | 3190 | 3679,"pâs″k | pâsok | písek | pěsk | pěsk | pesok | piasek | pesok | pijesak | piesok | pesek | pìsok | pěsŭkŭ | ṕosăk | piôsk | piasek | piesek | p′isók | p′àsuk | p′àsuk | pesek | peiſſek, peiſſik | pasa | fænyk | funuk | pąsnu | phānä | pānic | paau",sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | sand | earth | ash | ash | dust | dust | dust | dust,4
?*(s)k⁽ʷ⁾rei̯-,Proto-Indo-European,,1192 | 2273 | 6359 | 7095,krilo | krylo | křídlo | kšidło | křidło | krilo | skrzydło | krylo | krilo | krídlo | krilo | krilo | kraidlĕ | skrzidło | (s)krzydło | křídlo | šestokrilĭnyi | krωló | krìlu | krìlu | skrīt | skriet | skrīt | ãpskritas,wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | wing | fly_V | run | run | round,4
*dʰeh₁(i̯)-,Proto-Indo-European,,1277 | 2986 | 3151 | 6366,femme | fémina | femmina | feume | femine | femeie | femmena | feme | femme | fna | femna | δēn | fembra | tītan-,woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | chest,2
*dʰeh₁(i)-,Proto-Indo-European,,1277 | 2986 | 3151 | 6366,femme | fémina | femmina | feume | femine | femeie | femmena | feme | femme | fna | femna | δēn | fembra | tītan-,woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | woman | chest,2
*ai̯xa-,Proto-Iranic,,45 | 245 | 5932 | 8137,"yax bastan | yix̌ woc | yax zeydak | jæχmize | yax azen | yax vandene | yax awasıt, yax akāt | yaxa bandīt | yakhedal | yax mezane | yax mawīno | yax kaē | yạx ạkare | is | ijs | ice | ísur | ys | iis | Eis | ís | is | is | Äis | ais | is | Yys | īs | īs | îs | īs | îs | ijs | íss | is | aēxa | ix | ex | yix̌ | yax | ēx | yax | yax | yax | yaxn | jæχ | yax | yax | yax | yēx | yax | yax | yạx | yakh | yax | yakh | yạx",freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | cold | cold | cold,3
*īsa-,Proto-Germanic,,45 | 245 | 5932 | 8137,"yax bastan | yix̌ woc | yax zeydak | jæχmize | yax azen | yax vandene | yax awasıt, yax akāt | yaxa bandīt | yakhedal | yax mezane | yax mawīno | yax kaē | yạx ạkare | is | ijs | ice | ísur | ys | iis | Eis | ís | is | is | Äis | ais | is | Yys | īs | īs | îs | īs | îs | ijs | íss | is | aēxa | ix | ex | yix̌ | yax | ēx | yax | yax | yax | yaxn | jæχ | yax | yax | yax | yēx | yax | yax | yạx | yakh | yax | yakh | yạx",freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | ice | cold | cold | cold,3
*reu̯H-,Proto-Indo-European,,1233 | 1256 | 2588 | 4819,rot | rot | rot | rotŭ | rot | rvat' | ryć | ryś | voirĕt | rzucić | rzucić,mouth | mouth | mouth | mouth | mouth | vomit | dig | dig | dig | throw | throw,4
ξύλον / ksýlon,Greek: Ancient,,1545 | 6083 | 6232 | 6242,xýlo | (a)ššīporéō,tree | know,2
*ksúlo-,Proto-Indo-European,,1545 | 6083 | 6232 | 6242,xýlo | (a)ššīporéō,tree | know,2
*perh₃-,Proto-Indo-European,,1545 | 6083 | 6232 | 6242,xýlo | (a)ššīporéō,tree | know,2
*(s)per-,Proto-Indo-European,,700 | 5101 | 7386 | 9162,pero | pâro | péro | pjero | pjero | pero | par | pióro | pero | pero | pero | pero | pero | par | parṇám | paruwa | pero | parəna | paṇṇa | pālak | pārrä | perü | pióro | parr | pióro | par | péro | peró | p′èru | p′èru | pero | perú | par | par | parn | par | pær | pal | par | pař | paṛ | par | pan | peend | par | paṛ | parəna | partāu̯ar / partaun- | pārrä | spārns | spar̃nas | parr | spuorns | pal | perut | pan patər | pāna | parṇám | palč | panrra | pahr | panci | pork | p′ârag | p′or | p′or | př′or | p′âːr | par zande | pehrestak | ạpariya | mipere | pal aku | tōpura,feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | feather | wing | wing | wing | wing | wing | wing | wing | wing | wing | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | fly_V | fly_V | fly_V | fly_V | fly_V | fly_V,4
*ters-,Proto-Indo-European,,520 | 870 | 1337 | 8048,tør | turrur | þurr | tørr | torr | tioram | tirim | tírim | çhirrym | tuorr | thör | tarto- | þurr | tørr | terra | terre | terra | tera | terra | terra | terra | tierra | têre | terra | tiere | teras | tir | terra | terre | terre | térra | tierra | terra | terra | ţáră | ti̯ara | terra | tèra | tuosto | tostáu,dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | dry | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | earth | hard | hard,3
*kok̑s-,Proto-Indo-European,,2156 | 2789 | 4076 | 6464,cos | cas | cos | coes | coes | coscia | cos | cas | cos | cass | kokso- | coapsă | coscia | coscia | cuesse | cuessa | cuisse | cuisse | kouésse | cuixa | coxa | coxa | coscia | coscia | cuissa | cuixa | coxa | cuisse,leg | leg | leg | leg | leg | leg | foot | foot | foot | foot | foot | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh | thigh,3
*h₂u̯es-,Proto-Indo-European,,2793 | 5053 | 5083 | 7443,ḫuiš- / ḫuš- | rwor | yṣiye | wṣe | basā | basnu | bôhā,live | day | night | night | sit | sit | sit,4
ἴσος / ísos,Greek: Ancient,,2924 | 5273 | 6261,íšios | gíso | ísios | íšios | ísos,smooth | smooth | straight | straight | straight,2
*bʰleh₃-,Proto-Indo-European,,223 | 252 | 5299,"flor | blomst | bloem | blóma | bloem | fleur | blom | Blume | blóm | bláth | fiore | flor | blomst | flóre | frore | flor | fleûr | flōs | Blumm | flôr | bláth | fluus-* | blato- | bljåmme | blomma | blomster | bleuzuenn | floare | flor | flur | flôh | flor | sciore | blëw, blëwenn | bleuñv | blodyn | blaa | blodeuyn | Blueme | flor | flo̯ári | flor | bluoma | bluome | blōstma | blômo | bloeme | blóm | bloma | bledzhan | blome | flor | fiũ | blad | blað | blad | blêd | Blatt | fýllo | blað | blad | Blat | blad | phýllon | pält | pilta | blad | blað | phýllon | fýllon | fýllo(n) | fýḍḍo | fýllo | Blatt | blad | blat | blað | blad | flāuus",flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | flower | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | leaf | yellow,3
*gʰebʰ-,Proto-Indo-European,,228 | 5345 | 7227,give | geven | give | geva | geven | geben | gefa | gi | ge | ginn | jaan | djävå | giva | gäh | geban | ieva | geben | ġiefan | geƀan | gheven | gefa | giban | gje | hahtu | gaibid | gabh | goaill | tóg | overgeven | sech iwwerginn | sich übergeben,give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | take | take | take | take | take | vomit | vomit | vomit,3
?*⁽g̑⁾ʰeHb-,Proto-Indo-European,,228 | 5345 | 7227,give | geven | give | geva | geven | geben | gefa | gi | ge | ginn | jaan | djävå | giva | gäh | geban | ieva | geben | ġiefan | geƀan | gheven | gefa | giban | gje | hahtu | gaibid | gabh | goaill | tóg | overgeven | sech iwwerginn | sich übergeben,give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | give | take | take | take | take | take | vomit | vomit | vomit,3
*méh₂ter-,Proto-Indo-European,,79 | 1156 | 1421,,,0
mama,,,79 | 1156 | 1421,,,0
*kʷer-,Proto-Indo-European,,5037 | 5259 | 7072,yīndä | kərənaoiti | kunēd | karēd | kænyn | kr̥- | kænun | karā | karanā | karanā | karanā | garnu | karon | kun- | dɨket | karanā | karnā | kardan | karaṇē | karanavā | karoti | car- | kirido | kunti | kerdak | ǝkkica | karnā | kerik | korik | kār miyare | kār konde | kɒri miko | aku | akat | kaē | makaro | kôrā | tka | dārī kant | kạr ạkare | kärūg | kawal | kunauti | chewg | katu | k′u- | k′u- | k′u- | ća- | ko- | a-k(a)-ā | kamilā,do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | do | ant,2
*xvost-,Proto-Slavic,,1246 | 2062 | 5003,hvost | hvost | chvost | hvìst | xv′ïst | ohotit'sâ | oxvota | oxótɪtɪ s′a | chyśiś,tail | tail | tail | tail | tail | hunt | hunt | hunt | throw,3
*x(v)ot-,Proto-Slavic,,1246 | 2062 | 5003,hvost | hvost | chvost | hvìst | xv′ïst | ohotit'sâ | oxvota | oxótɪtɪ s′a | chyśiś,tail | tail | tail | tail | tail | hunt | hunt | hunt | throw,3
*neu̯-,Proto-Indo-European,,86 | 1563 | 5912,"nor | nor | natun | nov | novy | nou | nový | ny | nieuw | new | nýggjur | nieuw | nouveau | nij | neu | nayā | nýr | nua | nuovo | now | nuef | naũjas | nowy | nowy | nov | navīna | nayām̐ | nowy | novo | ny | novyj | nou | nóu | nov | nový | nov | nuevo | ny | novij | novê | nēu̯a- | ñu | ñuwe | néos | nouus | novŭ | nawans | nei | náva- | nayā | nab | ni | gnûf | nauua | nue | nog | næwæg | nor | nouiios | noa | nouuid | nouid | ny | nyr | nava | ne-wo | neuez, nevez | nūvarä | nāu̯a/i- | naw | nüvĕ | nowi | nōg | nawāg | nuvis | náwa | nou | nuovo | novel | noef | nuvo | nuevo | neweż | nëwiż | newydd | néos | nayā | nayā | náawu | nowy | newyd | nový | novyi | novώj | nō | nòf | nòf | nov | nov | nōgo | nöi | nôtun | navāⁿ | nu | nawi | nu | naw | now | now | nōkēn | nouveou | nou̯ | nǝwik | nou | nunga | nooɣ | nawe | nū | näm | nuf | niuui | neej | nī | niuwe | nīwe | niuuui | nieuwe | nýr | niujis | nowyth | noueth | novo | in′ü | nongu | nu·′ĩ | nu·′i | n′ui | nuŋa | nöf | ny | neró | nerón | neró | neró(n) | leró | nerá | neró",new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | new | water | water | water | water | water | rain | rain,3
φυσάω / physáō,Greek: Ancient,,5371 | 6020 | 8318,fysaínomai,swell,1
φούσκα / phoúska,,,5371 | 6020 | 8318,fysaínomai,swell,1
*⁽g̑⁾el-,Proto-Indo-European,,196 | 881 | 6560,kold | koud | cold | kaldur | koud | kâld | kalt | kaldur | kald | kall | kal | kold | kalder | chalt | kalt | cald | kalt | ċeald | kald | cout | kaldr | kalds | kald | geler | gelar | congelarse | djaler | gelāre | geler | geler | zhalâ | congelar-se | (y)elar | jelà | congelarsi | gelar | congelar-se | gelar | gelàa | gel | gelo | hielo | yelo | gel | gelo,cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | cold | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | freeze | ice | ice | ice | ice | ice | ice,3
*či̯aH-,Proto-Indo-Iranic,,4547 | 5081 | 7587,šuh | *śyā́ | soór | śītá- | sīta | šidáalu | šala | šidäl | šədol | sīyati | śyā- | šuh lagon,ice | ice | ice | cold | cold | cold | cold | cold | cold | freeze | freeze | freeze,3
*(h₁)rei̯k⁽ʷ⁾h₂-,Proto-Indo-European,,4401 | 6970 | 7320,rräjsei* | lekhíi,sharp | count,2
*(h₁)rei̯k⁽ʷ⁾(h₂)-,Proto-Indo-European,,4401 | 6970 | 7320,rräjsei* | lekhíi,sharp | count,2
*sol-u̯o-,Proto-Indo-European,,175 | 748 | 965,,,0
*h₂ep-,Proto-Indo-European,,157 | 7856 | 9686,aab | āb | av | ap | ap | āpa | ūtca | yupk | āb | āb | ā́p* | 'āw | ōp | aw | abbo | āp | u | ow | ow | āp | āw | viye | aau | ū | oba | u | āw | āwī | uɣ | ′âv | ′oa | ′ov | âv′a | âv | âb′o | āw | ùpė | ape | upe | upe | gâl′oa | gul′ava | golâv | golâb′o | gâl′ov | âv vukṣu- | âv-nâṭ,water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | water | river | river | river | river | river | river | river | river | river | swim | swim,3
*tú ~ *t(u̯)e-,Proto-Indo-European,,145 | 2432 | 4531,,,0
yuṣmad-/um-,Sanskrit/Tamil?,,145 | 2432 | 4531,,,0
*h₁eu̯s-,Proto-Indo-European,,6183 | 8480 | 9342,uṇha | uṣṇá- | uṣak | broûler | brûler | bwâ | brular,hot | hot | cold | burn | burn | burn | burn,3
*mē(m)s-,Proto-Indo-European,,437 | 4583 | 5107,mish | mis | mis | mānsa | meso | mâsa | maso | māṁsa | maaz | mėsà | měso | mjaso | meso | māṁsa | māsu | mięso | mâso | meso | mas | mäso | meso | mâso | mīsa | māṅs | mensā | māṃsám | męso | mis | mish | maṅs | maŋsa (maṁsaṁ) | mąsi | miãso | mhaás | māṁs | mięso | maso | męso | mn′áso | m′ä̀su | m′èsu | meso | meſſú | māngxô | mās | mishë | mās | mimz | akmāva | mērós | mērós | mīrós | merí(n),meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | meat | liver | thigh | thigh | thigh | thigh,3
*seh₁-,Proto-Indo-European,,509 | 1030 | 8678,"gjanë | gjerë | siros | hir | hir | hir, hirr, hyr, hyrr | hir | hir | hir | hir | hyr | hir",wide | wide | long | long | long | long | long | long | long | long | long | long,2
*h₂ner-,Proto-Indo-European,,449 | 1499 | 2316,anḗr | ántras | nár- | nar | ayr | njeri | nara | anḗr | niir | nerf | ántras | ántra | ántras | njeri | narina,man | man | man | man | man | man | man | man | man | man | man | man | man | man | man,1
*h₂nēr-,Proto-Indo-European,,449 | 1499 | 2316,anḗr | ántras | nár- | nar | ayr | njeri | nara | anḗr | niir | nerf | ántras | ántra | ántras | njeri | narina,man | man | man | man | man | man | man | man | man | man | man | man | man | man | man,1
*seu̯k̑-,,,313 | 2214 | 2987,,,0
*(H)i̯u(H)- ~ *u̯os,Proto-Indo-European,,324 | 3016 | 5822,,,0
*čárman-,Proto-Indo-Iranic,,3230 | 5086 | 7796,"c'ar | c'arɜ | tcārma | carm | car | tsam | camma | cāmṛā | camarā | camaṛī | camaḍā | čarm | skóra | skóra | hama | cām | skóra | čarm | camṛī | čam | carm | č′om | č′om | č′um | čâm | ć′âm | kora | kara | kůra | škóra | skora | kora | kora | kora | kora | kôra | skorja | kora | kora | sťöră | kòra, kóra | skóra | kóra | korá | kòra | kòra | kora | ṡhkorja",bark | bark | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark,2
*(s)ker-,Proto-Indo-European,,3230 | 5086 | 7796,"c'ar | c'arɜ | tcārma | carm | car | tsam | camma | cāmṛā | camarā | camaṛī | camaḍā | čarm | skóra | skóra | hama | cām | skóra | čarm | camṛī | čam | carm | č′om | č′om | č′um | čâm | ć′âm | kora | kara | kůra | škóra | skora | kora | kora | kora | kora | kôra | skorja | kora | kora | sťöră | kòra, kóra | skóra | kóra | korá | kòra | kòra | kora | ṡhkorja",bark | bark | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | skin | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark | bark,2
*meg̑-,Proto-Indo-European,,360 | 7342 | 8382,madh | mec | mec | megálos | mannu | mannu | mégas | magnus | máhi | mec | magio- | madh | mykil | mahant- | me-ki-ta | maz | maysirkä | mégas | mezɨn | meálos | méga | mé(g)as | mé(g)a | mazēx | i madh | miċel | mikils | sum | i madh,big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | earth | wide,3
*peh₃(i̯)-,Proto-Indo-European,,380 | 842 | 7432,"pî | piâ | pìc′ | beure | pít | boire | pínō | pīnā | ól | bere | beive | piś | pić | pie | piṇē | piunu | pić | beber | pit' | bíere | buffare | piti | piť | piti | beber | piti | pit | beûre | pīnā | pā- | piti | poūton | bibere | pīnā | bonavā | bevi | ibid | əmpem | ibetis | pi | pinā | iu | iben | pīnā | pivati/pibati | pínō | euaff, effaff | pínō | pic | pínnō | pínnō | pínō | piíno | boivre | beivre | baihé | beber | bea | ived, iv- | evã, ev- | yfad | òl | vevere | píla | pait | pić | yfed | píti | piti | pɪ́tɪ | pìjam | pìja | piti | pyti | beoure | pi | beure | piik | pik | pīṇā | pūg | be̯ári | bar | eva | eva | beber | vuya- | pataau | pi khûwā | p′ia- | pi·′e- | pai′e- | piia- | p′iː- | béf | pānī | pāṇī | pānī | pānī | pain | pānī | pānī | pānī | pāṇī | pānī",drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | drink | water | water | water | water | water | water | water | water | water | rain,3
*kʰād-,Proto-Indo-Iranic,,385 | 6793 | 9634,khāoẏā | khānā | khāṇe | khānu | kanavā | khānā | khānā | khyon | khānā | khānā | khóo | khāg | khûwā | kʰāṇā | khāoẏā | čyon | khāśäte,eat | eat | eat | eat | eat | eat | eat | eat | eat | eat | eat | eat | eat | eat | drink | drink | drink,2
*śuḍa-,Indic,,3977 | 3989 | 6727,,,0
*kuḍa-,Indic,,3977 | 3989 | 6727,,,0
*legʰ-,Proto-Indo-European,,254 | 6271 | 8119,überlege,think,1
*sengʷ- ‎,Proto-Indo-European,,3348 | 5952 | 5989,ənknel | ankanim | ənkenum,fall | fall | throw,2
*sengʷ-,Proto-Indo-European,,3348 | 5952 | 5989,ənknel | ankanim | ənkenum,fall | fall | throw,2
*gʰreu̯d-,Proto-Indo-European,,185 | 4355 | 4356,"groot | groot | grut | groß | grouss | gross | grōz | grāt | grôz | groot | grôt | bras | bras | bras | bras | brâoz, broaze, broze",big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big,1
*brasso-,Proto-Celtic,,185 | 4355 | 4356,"groot | groot | grut | groß | grouss | gross | grōz | grāt | grôz | groot | grôt | bras | bras | bras | bras | brâoz, broaze, broze",big | big | big | big | big | big | big | big | big | big | big | big | big | big | big | big,1
*reukan-,Proto-Germanic,,299 | 300 | 2614,ruiken | ruiken | riechen | richen | rûke | riohan | riechen | ruken | røg | rook | roykur | rook | reek | Rauch | reykur | røyk (røk) | rök | räk | röker | Rouch | rouh | rouch | rôk | rooc | reykr | røyk | ryk,smell | smell | smell | smell | smell | smell | smell | smell | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | dust,3
*rauki-,Proto-Germanic,,299 | 300 | 2614,ruiken | ruiken | riechen | richen | rûke | riohan | riechen | ruken | røg | rook | roykur | rook | reek | Rauch | reykur | røyk (røk) | rök | räk | röker | Rouch | rouh | rouch | rôk | rooc | reykr | røyk | ryk,smell | smell | smell | smell | smell | smell | smell | smell | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | smoke | dust,3
*h₂emg̑ʰ-,Proto-Indo-European,,263 | 1248 | 6875,"vuzkì | úzký | eng | cúng | wuski | wuski | wąski | uzkij | uzak | úzky | ozek | vuz′kij | aṃhú-* | ǫzŭkŭ | angustus | cumhang | cumung | hencq, enc, encq | vązĕ | wąsczi | îngust | coon | enk | wąski | cyfyg | úzký | uzkyi | uskώj | ozek | voṡik | enc | äng | engi | enge | engi | enghe | aggwus | yn | edn, idn, idden | vâzac′ | vázat | wězaś | wjazać | wiązać | vâzat' | vezati | viazať | vezati | vâzati | vęzati | v́ǫzăt | wiązac | wiązać | vázati | vzvęzati | v′jazátɪ | vezati | vèṡati | Angst haben | Angscht haa | bang zijn | bang wêze",narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | narrow | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | tie | fear | fear | fear | fear,3
*h₂eu̯s-,Proto-Indo-European,,208 | 237 | 9268,"akanǰ | akanǰ | uho | vuha | orella | ucho | øre | oor | ear | oyra | oor | oreille | ear | Ohr | aytí | eyra | orecchio | oredla | ausìs | wucho | wucho | uvo | ucho | orelha | øre | uho | origga | orica | uho | ucho | uho | oreja | öra | vuho | orèye | oũs | auris | uxo | āusins | auss | Ouer | orele | ownkn | aus(i)- | vesh | vesh | ära | öra | -o-we* | oũs | vaux́ü, vaix́ü | ùchò | aftín | aftí | ōtí(n) | ōtí | auss | ureche | recchia | oreille | oreille | orlye | oreja | ucho | ucho | uxo | úxo | ùxu | ùxu | uho | uhú | Ohr | aurelha | ure̯ácľă | vesh | orella | orakla | ōra | ôre | ēare | ôra | ore | eyra | auso | øyre | orelha | im′u | urégia | høre | horen | hear | hoyra | hooren | hearre | hören | akoýō | heyra | høre | höra | akoúō | héieren | höra | ära | akoúō | akoýō | akoú(g)ō | (a)koúō | akoúgō | ghöre | hōren | hēra | hœren | hīeran | hôrian | horen | heyra | hausjan | høyre | koškēnīt",ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | ear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear | hear,2
